mutation,tau_frames,tau_minutes,n_exposed,n_unexposed,p_exposed,p_unexposed,risk_difference,RR
WT,0,0,146620,210012,0.13145546310189607,0.07486715044854579,0.05658831265335028,1.7558496926130764
WT,1,5,145714,210918,0.12844338910468453,0.07719113589167353,0.051252253213010995,1.6639655268829834
WT,2,10,144813,211819,0.12482995311194436,0.07987951977867896,0.0449504333332654,1.5627278864195593
WT,3,15,143980,212652,0.1206209195721628,0.08290540413445441,0.03771551543770839,1.4549222795722951
WT,4,20,143194,213438,0.11687640543598195,0.08555646136114468,0.031319944074837264,1.3660733926644277
WT,5,25,142405,214227,0.11364067272918787,0.08782273009471261,0.02581794263447526,1.2939779098945323
WT,6,30,141705,214927,0.11077943615257048,0.08979327864809912,0.02098615750447136,1.2337163518298107
PIK3CA_H1047R,0,0,33713,142137,0.19490997538041704,0.06854654312388751,0.12636343225652952,2.843469072220706
PIK3CA_H1047R,1,5,33507,142343,0.16957650640164743,0.07469281945722656,0.09488368694442087,2.270318721851928
PIK3CA_H1047R,2,10,33299,142551,0.14495930808732996,0.08058168655428584,0.06437762153304412,1.7989113195052644
PIK3CA_H1047R,3,15,33110,142740,0.12497734823316219,0.08530194759702957,0.03967540063613262,1.465117172043493
PIK3CA_H1047R,4,20,32909,142941,0.1089671518429609,0.08904373132970946,0.01992342051325144,1.2237487155550497
PIK3CA_H1047R,5,25,32708,143142,0.10031185031185032,0.09104944740188065,0.009262402909969672,1.101729369856432
PIK3CA_H1047R,6,30,32541,143309,0.09237577210288558,0.09286227661905393,-0.0004865045161683429,0.994761010241391
PTEN_del,0,0,56325,154814,0.12740346205059921,0.08098750758975286,0.046415954460846356,1.5731248663185091
PTEN_del,1,5,56132,155007,0.12247915627449583,0.08282851742179385,0.03965063885270198,1.4787075766524478
PTEN_del,2,10,55909,155230,0.11540181366148562,0.08543451652386781,0.02996729713761781,1.3507633490176756
PTEN_del,3,15,55656,155483,0.10825427626850655,0.0880417794871465,0.020212496781360043,1.2295784671675216
PTEN_del,4,20,55396,155743,0.10244421979926348,0.09014209306357268,0.012302126735690797,1.1364748289904332
PTEN_del,5,25,55194,155945,0.09760118853498569,0.09187213440636122,0.0057290541286244695,1.0623589967256468
PTEN_del,6,30,54994,156145,0.09493762955958832,0.09281757340933107,0.0021200561502572463,1.0228411072643289
